PhraseID,EN,IT,PT-BR,TR,ES-ES,SV,NL
QID322_Choice11,Turkey,Turchia,Turquia,Türkiye<br />,Turquía,Turkiet,Kalkoen
QID322_Choice12,Some other country,Un altro paese,Algum outro país,Başka bir ülke,Algún otro país,Något annat land,Een ander land
QID320_QuestionText,"Are you <strong>at home</strong>, or at least at the house of someone you know?&nbsp;","Ti trovi <strong>a casa</strong>, o almeno a casa di qualcuno che conosci?","Você está <strong>em casa</strong>, ou pelo menos na casa de alguém que você conhece?&nbsp;","<strong>Evde</strong> misiniz, ya da en azından tanıdığınız birinin evinde misiniz? ","¿Estás <strong>en casa</strong>, o al menos en la casa de alguien que conoces?&nbsp;","Är du <strong>hemma</strong>, eller åtminstone hos någon du känner?&nbsp;","Bent u <strong>thuis</strong>, of in ieder geval bij iemand die u kent?"
QID320_Choice1,"Yes, I'm at my house","Sì, sono a casa mia","Sim, estou na minha casa","Evet, kendi evimdeyim","Sí, estoy en mi casa","Ja, jag är hemma","Ja, ik ben bij mij thuis"
QID320_Choice2,"Yes, I'm at the house of someone I know","Sì, sono a casa di qualcuno che conosco","Sim, estou na casa de alguém que conheço","Evet, tanıdığım birinin evindeyim","Sí, estoy en la casa de alguien que conozco","Ja, jag är hemma hos någon jag känner","Ja, ik ben bij iemand thuis die ik ken"
QID320_Choice3,"No, I'm somewhere else","No, sono da qualche altra parte","Não, estou em outro lugar","Hayır, başka bir yerdeyim","No, estoy en otro lugar","Nej, jag är någon annanstans","Nee, ik ben ergens anders"
QID321_QuestionText,"Note: if you are not at home, you cannot take part in this study.<br>➘<br>➘Please, <strong>continue later when you are at home</strong>.","Nota: se non sei a casa, non puoi partecipare a questo studio.<br />➘<br />➘Per favore, <strong>continua più tardi, quando sarai a casa</strong>.","Nota: se você não estiver em casa, não poderá participar deste estudo.<br>➘<br>➘Por favor, <strong>continue mais tarde quando estiver em casa</strong>.","Not: Eğer şu anda evde değilseniz, bu çalışmaya katılamazsınız.<br />➘<br />➘Lütfen, <strong>evde olduğunuzda daha sonra devam edin</strong>.","Nota: si no estás en casa, no puedes participar en este estudio.<br>➘<br>➘Por favor, <strong>continúa más tarde cuando estés en casa</strong>.","Obs: om du inte är hemma kan du inte delta i denna studie.<br>➘<br>➘Vänligen, <strong>fortsätt senare när du är hemma</strong>.","Let op: als u niet thuis bent, kunt u niet deelnemen aan dit onderzoek.<br><br> <strong>Ga later verder als u thuis bent</strong> ."
QID323_QuestionText,"Note: if you are not from one of the nine countries listed above, you cannot take part in this study.&nbsp;<br>","Nota: se non risiedi in uno dei nove Paesi sopra elencati, non puoi partecipare a questo studio.<br>","Nota: se você não for de um dos nove países listados acima, não poderá participar deste estudo.&nbsp;<br>","Not: Yukarıda listelenen dokuz ülkeden birinden değilseniz, bu çalışmaya katılamazsınız.","Nota: si no eres de uno de los nueve países listados arriba, no puedes participar en este estudio.&nbsp;<br>",Obs: om du inte är från ett av de nio länderna som anges ovan kan du inte delta i denna studie.&nbsp;<br>,"Let op: als u niet uit een van de negen hierboven genoemde landen komt, kunt u niet deelnemen aan dit onderzoek.<br>"
QID341_QuestionText,Are you a participant from <strong>BeSample or Prolific</strong>?,Sei un partecipante di <strong>BeSample o Prolific</strong>?,Você é um participante do <strong>BeSample ou Prolific</strong>?,<strong>BeSample veya Prolific</strong> platformlarından birinden mi katılıyorsunuz,¿Eres un participante de <strong>BeSample o Prolific</strong>?,Är du en deltagare från <strong>BeSample eller Prolific</strong>?,Bent u deelnemer van <strong>BeSample of Prolific</strong> ?
QID341_Choice2,Prolific,Prolific ,Prolific,Prolific,Prolific,Prolific,Prolific
QID341_Choice3,BeSample,BeSample ,BeSample,BeSample,BeSample,BeSample,BeSample
QID318_QuestionText,What is your <strong>Prolific ID</strong>?,Qual è il tuo <strong>Prolific ID</strong>?,Qual é o seu <strong>ID Prolific</strong>?,<strong>Prolific ID&#39;niz</strong> nedir?,¿Cuál es tu <strong>ID de Prolific</strong>?,Vad är ditt <strong>Prolific ID</strong>?,Wat is uw <strong>Prolific-ID</strong> ?
QID319_QuestionText,What is your <strong>BeSample ID</strong>?,Qual è il tuo <strong>BeSample ID</strong>?,Qual é o seu <strong>ID BeSample</strong>?,<strong>BeSample ID&#39;niz</strong> nedir?,¿Cuál es tu <strong>ID de BeSample</strong>?,Vad är ditt <strong>BeSample ID</strong>?,Wat is uw <strong>BeSample ID</strong> ?
QID233_QuestionText,Thank you for participating in our study.<br />➘<br />➘This research explores <strong>perceptions and behaviors related to second-hand clothing</strong>.<br />➘<br />➘Your input is invaluable in helping us understand this topic.,Grazie per aver partecipato al nostro studio.<br />➘<br />➘Questa ricerca esplora le <strong>percezioni e i comportamenti legati all’abbigliamento di seconda mano.</strong><br />➘<br />➘Il tuo contributo è fondamentale per aiutarci a comprendere meglio questo argomento.,Obrigado por participar do nosso estudo.<br />➘<br />➘Esta pesquisa explora <strong>percepções e comportamentos relacionados a roupas de segunda mão</strong>.<br />➘<br />➘Sua contribuição é inestimável para nos ajudar a entender este tópico.,"Çalışmamıza katıldığınız için teşekkür ederiz.<br />➘<br />➘<strong>Bu araştırma, ikinci el kıyafetlerle ilgili algı ve davranışları incelemektedir.</strong><br />➘<br />➘Bu konuyu anlamamıza yardımcı olmanız bizim için son derece değerlidir.",Gracias por participar en nuestro estudio.<br />➘<br />➘Esta investigación explora las <strong>percepciones y comportamientos relacionados con la ropa de segunda mano</strong>.<br />➘<br />➘Tu participación es invaluable para ayudarnos a entender este tema.,Tack för att du deltar i vår studie.<br />➘<br />➘Denna forskning utforskar <strong>uppfattningar och beteenden relaterade till second-hand-kläder</strong>.<br />➘<br />➘Ditt bidrag är ovärderligt för att hjälpa oss förstå detta ämne.,Hartelijk dank voor uw deelname aan ons onderzoek.<br /><br /> In dit onderzoek wordt gekeken naar <strong>de perceptie en het gedrag met betrekking tot tweedehandskleding</strong> .<br /><br /> Uw input is van onschatbare waarde om ons dit onderwerp te helpen begrijpen.
QID1_QuestionText,"Dear participant,&nbsp;<br>➘<br>➘We're inviting you to partake in a study for&nbsp;<strong>Radboud University</strong>'s Behavioral Science Institute.&nbsp; &nbsp;<br>➘<br>➘The study complies with the&nbsp;<strong>ethical guidelines</strong>&nbsp;of Radboud University and code of conduct for data management.<br>➘<br>➘The data for this study are collected&nbsp;<strong>anonymously</strong>. Any information you provide&nbsp;cannot be traced back to you.&nbsp;<br>➘<br>➘Participation is voluntary. You're free to opt out anytime. If you choose to participate, we require you to sign an&nbsp;<strong>informed consent</strong>&nbsp;form below.<br>➘<br>➘If you have any questions, feel free to contact the executing researchers: matteo.perini@ru.nl<br>➘<br>➘Kind regards,<br>➘<br>➘Matteo Perini<br>➘&nbsp;","<p class=""p1"" style=""font-stretch: normal; font-size: 14px; line-height: normal; font-size-adjust: none; font-kerning: auto; font-variant-alternates: normal; font-variant-ligatures: normal; font-variant-numeric: normal; font-variant-east-asian: normal; font-variant-position: normal; font-feature-settings: normal; font-optical-sizing: auto; font-variation-settings: normal; color: rgb(14, 14, 14);"">Gentile partecipante,</p>➘➘<p class=""p2"" style=""font-stretch: normal; font-size: 14px; line-height: normal; font-size-adjust: none; font-kerning: auto; font-variant-alternates: normal; font-variant-ligatures: normal; font-variant-numeric: normal; font-variant-east-asian: normal; font-variant-position: normal; font-feature-settings: normal; font-optical-sizing: auto; font-variation-settings: normal; color: rgb(14, 14, 14); min-height: 17.2px;""> </p>➘➘<p class=""p1"" style=""font-stretch: normal; font-size: 14px; line-height: normal; font-size-adjust: none; font-kerning: auto; font-variant-alternates: normal; font-variant-ligatures: normal; font-variant-numeric: normal; font-variant-east-asian: normal; font-variant-position: normal; font-feature-settings: normal; font-optical-sizing: auto; font-variation-settings: normal; color: rgb(14, 14, 14);"">La invitiamo a partecipare a uno studio del Behavioral Science Institute dell’<strong>Università Radboud</strong>.</p>➘➘<p class=""p2"" style=""font-stretch: normal; font-size: 14px; line-height: normal; font-size-adjust: none; font-kerning: auto; font-variant-alternates: normal; font-variant-ligatures: normal; font-variant-numeric: normal; font-variant-east-asian: normal; font-variant-position: normal; font-feature-settings: normal; font-optical-sizing: auto; font-variation-settings: normal; color: rgb(14, 14, 14); min-height: 17.2px;""> </p>➘➘<p class=""p1"" style=""font-stretch: normal; font-size: 14px; line-height: normal; font-size-adjust: none; font-kerning: auto; font-variant-alternates: normal; font-variant-ligatures: normal; font-variant-numeric: normal; font-variant-east-asian: normal; font-variant-position: normal; font-feature-settings: normal; font-optical-sizing: auto; font-variation-settings: normal; color: rgb(14, 14, 14);"">Lo studio rispetta le <strong>linee guida etiche</strong> dell’Università Radboud e il codice di condotta per la gestione dei dati.</p>➘➘<p class=""p2"" style=""font-stretch: normal; font-size: 14px; line-height: normal; font-size-adjust: none; font-kerning: auto; font-variant-alternates: normal; font-variant-ligatures: normal; font-variant-numeric: normal; font-variant-east-asian: normal; font-variant-position: normal; font-feature-settings: normal; font-optical-sizing: auto; font-variation-settings: normal; color: rgb(14, 14, 14); min-height: 17.2px;""> </p>➘➘<p class=""p1"" style=""font-stretch: normal; font-size: 14px; line-height: normal; font-size-adjust: none; font-kerning: auto; font-variant-alternates: normal; font-variant-ligatures: normal; font-variant-numeric: normal; font-variant-east-asian: normal; font-variant-position: normal; font-feature-settings: normal; font-optical-sizing: auto; font-variation-settings: normal; color: rgb(14, 14, 14);"">I dati per questo studio sono raccolti <strong>in forma anonima</strong>. Qualsiasi informazione da Lei fornita non potrà essere ricondotta alla Sua persona.</p>➘➘<p class=""p2"" style=""font-stretch: normal; font-size: 14px; line-height: normal; font-size-adjust: none; font-kerning: auto; font-variant-alternates: normal; font-variant-ligatures: normal; font-variant-numeric: normal; font-variant-east-asian: normal; font-variant-position: normal; font-feature-settings: normal; font-optical-sizing: auto; font-variation-settings: normal; color: rgb(14, 14, 14); min-height: 17.2px;""> </p>➘➘<p class=""p1"" style=""font-stretch: normal; font-size: 14px; line-height: normal; font-size-adjust: none; font-kerning: auto; font-variant-alternates: normal; font-variant-ligatures: normal; font-variant-numeric: normal; font-variant-east-asian: normal; font-variant-position: normal; font-feature-settings: normal; font-optical-sizing: auto; font-variation-settings: normal; color: rgb(14, 14, 14);"">La partecipazione è volontaria. È libera/o di ritirarsi in qualsiasi momento. Se decide di partecipare, Le chiediamo di firmare il modulo di <strong>consenso informato</strong> qui di seguito.</p>➘➘<p class=""p2"" style=""font-stretch: normal; font-size: 14px; line-height: normal; font-size-adjust: none; font-kerning: auto; font-variant-alternates: normal; font-variant-ligatures: normal; font-variant-numeric: normal; font-variant-east-asian: normal; font-variant-position: normal; font-feature-settings: normal; font-optical-sizing: auto; font-variation-settings: normal; color: rgb(14, 14, 14); min-height: 17.2px;""> </p>➘➘<p class=""p1"" style=""font-stretch: normal; font-size: 14px; line-height: normal; font-size-adjust: none; font-kerning: auto; font-variant-alternates: normal; font-variant-ligatures: normal; font-variant-numeric: normal; font-variant-east-asian: normal; font-variant-position: normal; font-feature-settings: normal; font-optical-sizing: auto; font-variation-settings: normal; color: rgb(14, 14, 14);"">Per qualsiasi domanda, non esiti a contattare i ricercatori responsabili: matteo.perini@ru.nl</p>➘➘<p class=""p2"" style=""font-stretch: normal; font-size: 14px; line-height: normal; font-size-adjust: none; font-kerning: auto; font-variant-alternates: normal; font-variant-ligatures: normal; font-variant-numeric: normal; font-variant-east-asian: normal; font-variant-position: normal; font-feature-settings: normal; font-optical-sizing: auto; font-variation-settings: normal; color: rgb(14, 14, 14); min-height: 17.2px;""> </p>➘➘<p class=""p1"" style=""font-stretch: normal; font-size: 14px; line-height: normal; font-size-adjust: none; font-kerning: auto; font-variant-alternates: normal; font-variant-ligatures: normal; font-variant-numeric: normal; font-variant-east-asian: normal; font-variant-position: normal; font-feature-settings: normal; font-optical-sizing: auto; font-variation-settings: normal; color: rgb(14, 14, 14);"">Cordiali saluti,</p>➘➘<p class=""p2"" style=""font-stretch: normal; font-size: 14px; line-height: normal; font-size-adjust: none; font-kerning: auto; font-variant-alternates: normal; font-variant-ligatures: normal; font-variant-numeric: normal; font-variant-east-asian: normal; font-variant-position: normal; font-feature-settings: normal; font-optical-sizing: auto; font-variation-settings: normal; color: rgb(14, 14, 14); min-height: 17.2px;""> </p>➘➘<p class=""p1"" style=""font-stretch: normal; font-size: 14px; line-height: normal; font-size-adjust: none; font-kerning: auto; font-variant-alternates: normal; font-variant-ligatures: normal; font-variant-numeric: normal; font-variant-east-asian: normal; font-variant-position: normal; font-feature-settings: normal; font-optical-sizing: auto; font-variation-settings: normal; color: rgb(14, 14, 14);"">Matteo Perini</p>➘","Caro participante,&nbsp;<br>➘<br>➘Estamos te convidando para participar de um estudo do&nbsp;<strong>Instituto de Ciências do Comportamento da Universidade Radboud</strong>.&nbsp; &nbsp;<br>➘<br>➘O estudo está em conformidade com as&nbsp;<strong>diretrizes éticas</strong>&nbsp;da Universidade Radboud e o código de conduta para gestão de dados.<br>➘<br>➘Os dados para este estudo são coletados&nbsp;<strong>anonimamente</strong>. Qualquer informação que você fornecer&nbsp;não poderá ser rastreada até você.&nbsp;<br>➘<br>➘A participação é voluntária. Você é livre para desistir a qualquer momento. Se você escolher participar, precisamos que você assine um&nbsp;<strong>termo de consentimento informado</strong>&nbsp;abaixo.<br>➘<br>➘Se você tiver alguma dúvida, sinta-se à vontade para contatar os pesquisadores responsáveis: matteo.perini@ru.nl<br>➘<br>➘Atenciosamente,<br>➘<br>➘Matteo Perini<br>➘&nbsp;","Değerli katılımcı, <br />➘<br />➘<strong>Radboud Üniversitesi</strong> Davranış Bilimleri Enstitüsü tarafından yürütülen bir çalışmaya katılmanız için sizi davet ediyoruz.   <br />➘<br />➘Bu çalışma, Radboud Üniversitesi’nin <strong>etik yönergeleri</strong> ve veri yönetimi davranış kurallarına uygundur.<br />➘<br />➘Bu çalışmanın verileri <strong>anonim</strong> olarak toplanmaktadır. Sağladığınız hiçbir bilgi size geri izlenemez. <br />➘<br />➘Katılım gönüllüdür; dilediğiniz anda ayrılabilirsiniz. Katılmaya karar verirseniz, aşağıdaki <strong>aydınlatılmış onam</strong> formunu imzalamanız gerekecektir.<br />➘<br />➘Herhangi bir sorunuz olursa, araştırmayı yürüten araştırmacılarla şu adresten iletişime geçebilirsiniz: matteo.perini@ru.nl<br />➘<br />➘Saygılarımızla,<br />➘<br />➘Matteo Perini<br />➘ ","Estimado participante,&nbsp;<br>➘<br>➘Te invitamos a participar en un estudio del&nbsp;<strong>Instituto de Ciencias del Comportamiento de la Universidad de Radboud</strong>.&nbsp; &nbsp;<br>➘<br>➘El estudio cumple con las&nbsp;<strong>directrices éticas</strong>&nbsp;de la Universidad de Radboud y el código de conducta para la gestión de datos.<br>➘<br>➘Los datos de este estudio se recopilan de forma&nbsp;<strong>anónima</strong>. Cualquier información que proporciones&nbsp;no se puede rastrear hasta ti.&nbsp;<br>➘<br>➘La participación es voluntaria. Eres libre de retirarte en cualquier momento. Si decides participar, requerimos que firmes un&nbsp;<strong>consentimiento informado</strong>&nbsp;a continuación.<br>➘<br>➘Si tienes alguna pregunta, no dudes en contactar a los investigadores ejecutores: matteo.perini@ru.nl<br>➘<br>➘Saludos cordiales,<br>➘<br>➘Matteo Perini<br>➘&nbsp;","Kära deltagare,&nbsp;<br>➘<br>➘Vi bjuder in dig att delta i en studie för&nbsp;<strong>Radboud University</strong>'s Behavioral Science Institute.&nbsp; &nbsp;<br>➘<br>➘Studien följer&nbsp;<strong>etiska riktlinjer</strong>&nbsp;från Radboud University och uppförandekod för datamanagement.<br>➘<br>➘Data för denna studie samlas in&nbsp;<strong>anonymt</strong>. All information du ger&nbsp;kan inte spåras tillbaka till dig.&nbsp;<br>➘<br>➘Deltagande är frivilligt. Du är fri att avbryta när som helst. Om du väljer att delta, kräver vi att du undertecknar ett&nbsp;<strong>informerat samtycke</strong>&nbsp;nedan.<br>➘<br>➘Om du har några frågor, tveka inte att kontakta de ansvariga forskarna: matteo.perini@ru.nl<br>➘<br>➘Vänliga hälsningar,<br>➘<br>➘Matteo Perini<br>➘&nbsp;","Beste deelnemer,<br><br> Wij nodigen u uit om deel te nemen aan een onderzoek voor het Behavioral Science Institute van <strong>de Radboud Universiteit</strong> .<br><br> Het onderzoek voldoet aan de <strong>ethische richtlijnen</strong> van de Radboud Universiteit en de gedragscode voor databeheer.<br><br> De gegevens voor dit onderzoek worden <strong>anoniem</strong> verzameld. De informatie die u verstrekt, is niet naar u te herleiden.<br><br> Deelname is vrijwillig. U kunt zich op elk moment afmelden. Als u besluit deel te nemen, vragen wij u om onderstaand <strong>toestemmingsformulier</strong> te ondertekenen.<br><br> Heeft u vragen, neem dan gerust contact op met de uitvoerende onderzoekers: matteo.perini@ru.nl<br><br> Met vriendelijke groeten,<br><br> Matteo Perini<br>"
