PhraseID,EN,IT,PT-BR,TR,ES-ES,SV,NL
QID1_QuestionText,"Dear participant,&nbsp;<br>➘<br>➘We're inviting you to partake in a study for&nbsp;<strong>Radboud University</strong>'s Behavioral Science Institute.&nbsp; &nbsp;<br>➘<br>➘The study complies with the&nbsp;<strong>ethical guidelines</strong>&nbsp;of Radboud University and code of conduct for data management.<br>➘<br>➘The data for this study are collected&nbsp;<strong>anonymously</strong>. Any information you provide&nbsp;cannot be traced back to you.&nbsp;<br>➘<br>➘Participation is voluntary. You're free to opt out anytime. If you choose to participate, we require you to sign an&nbsp;<strong>informed consent</strong>&nbsp;form below.<br>➘<br>➘If you have any questions, feel free to contact the executing researchers: matteo.perini@ru.nl<br>➘<br>➘Kind regards,<br>➘<br>➘Matteo Perini<br>➘&nbsp;","<p class=""p1"" style=""font-stretch: normal; font-size: 14px; line-height: normal; font-size-adjust: none; font-kerning: auto; font-variant-alternates: normal; font-variant-ligatures: normal; font-variant-numeric: normal; font-variant-east-asian: normal; font-variant-position: normal; font-feature-settings: normal; font-optical-sizing: auto; font-variation-settings: normal; color: rgb(14, 14, 14);"">Gentile partecipante,</p>➘➘<p class=""p2"" style=""font-stretch: normal; font-size: 14px; line-height: normal; font-size-adjust: none; font-kerning: auto; font-variant-alternates: normal; font-variant-ligatures: normal; font-variant-numeric: normal; font-variant-east-asian: normal; font-variant-position: normal; font-feature-settings: normal; font-optical-sizing: auto; font-variation-settings: normal; color: rgb(14, 14, 14); min-height: 17.2px;""> </p>➘➘<p class=""p1"" style=""font-stretch: normal; font-size: 14px; line-height: normal; font-size-adjust: none; font-kerning: auto; font-variant-alternates: normal; font-variant-ligatures: normal; font-variant-numeric: normal; font-variant-east-asian: normal; font-variant-position: normal; font-feature-settings: normal; font-optical-sizing: auto; font-variation-settings: normal; color: rgb(14, 14, 14);"">La invitiamo a partecipare a uno studio del Behavioral Science Institute dell’<strong>Università Radboud</strong>.</p>➘➘<p class=""p2"" style=""font-stretch: normal; font-size: 14px; line-height: normal; font-size-adjust: none; font-kerning: auto; font-variant-alternates: normal; font-variant-ligatures: normal; font-variant-numeric: normal; font-variant-east-asian: normal; font-variant-position: normal; font-feature-settings: normal; font-optical-sizing: auto; font-variation-settings: normal; color: rgb(14, 14, 14); min-height: 17.2px;""> </p>➘➘<p class=""p1"" style=""font-stretch: normal; font-size: 14px; line-height: normal; font-size-adjust: none; font-kerning: auto; font-variant-alternates: normal; font-variant-ligatures: normal; font-variant-numeric: normal; font-variant-east-asian: normal; font-variant-position: normal; font-feature-settings: normal; font-optical-sizing: auto; font-variation-settings: normal; color: rgb(14, 14, 14);"">Lo studio rispetta le <strong>linee guida etiche</strong> dell’Università Radboud e il codice di condotta per la gestione dei dati.</p>➘➘<p class=""p2"" style=""font-stretch: normal; font-size: 14px; line-height: normal; font-size-adjust: none; font-kerning: auto; font-variant-alternates: normal; font-variant-ligatures: normal; font-variant-numeric: normal; font-variant-east-asian: normal; font-variant-position: normal; font-feature-settings: normal; font-optical-sizing: auto; font-variation-settings: normal; color: rgb(14, 14, 14); min-height: 17.2px;""> </p>➘➘<p class=""p1"" style=""font-stretch: normal; font-size: 14px; line-height: normal; font-size-adjust: none; font-kerning: auto; font-variant-alternates: normal; font-variant-ligatures: normal; font-variant-numeric: normal; font-variant-east-asian: normal; font-variant-position: normal; font-feature-settings: normal; font-optical-sizing: auto; font-variation-settings: normal; color: rgb(14, 14, 14);"">I dati per questo studio sono raccolti <strong>in forma anonima</strong>. Qualsiasi informazione da Lei fornita non potrà essere ricondotta alla Sua persona.</p>➘➘<p class=""p2"" style=""font-stretch: normal; font-size: 14px; line-height: normal; font-size-adjust: none; font-kerning: auto; font-variant-alternates: normal; font-variant-ligatures: normal; font-variant-numeric: normal; font-variant-east-asian: normal; font-variant-position: normal; font-feature-settings: normal; font-optical-sizing: auto; font-variation-settings: normal; color: rgb(14, 14, 14); min-height: 17.2px;""> </p>➘➘<p class=""p1"" style=""font-stretch: normal; font-size: 14px; line-height: normal; font-size-adjust: none; font-kerning: auto; font-variant-alternates: normal; font-variant-ligatures: normal; font-variant-numeric: normal; font-variant-east-asian: normal; font-variant-position: normal; font-feature-settings: normal; font-optical-sizing: auto; font-variation-settings: normal; color: rgb(14, 14, 14);"">La partecipazione è volontaria. È libera/o di ritirarsi in qualsiasi momento. Se decide di partecipare, Le chiediamo di firmare il modulo di <strong>consenso informato</strong> qui di seguito.</p>➘➘<p class=""p2"" style=""font-stretch: normal; font-size: 14px; line-height: normal; font-size-adjust: none; font-kerning: auto; font-variant-alternates: normal; font-variant-ligatures: normal; font-variant-numeric: normal; font-variant-east-asian: normal; font-variant-position: normal; font-feature-settings: normal; font-optical-sizing: auto; font-variation-settings: normal; color: rgb(14, 14, 14); min-height: 17.2px;""> </p>➘➘<p class=""p1"" style=""font-stretch: normal; font-size: 14px; line-height: normal; font-size-adjust: none; font-kerning: auto; font-variant-alternates: normal; font-variant-ligatures: normal; font-variant-numeric: normal; font-variant-east-asian: normal; font-variant-position: normal; font-feature-settings: normal; font-optical-sizing: auto; font-variation-settings: normal; color: rgb(14, 14, 14);"">Per qualsiasi domanda, non esiti a contattare i ricercatori responsabili: matteo.perini@ru.nl</p>➘➘<p class=""p2"" style=""font-stretch: normal; font-size: 14px; line-height: normal; font-size-adjust: none; font-kerning: auto; font-variant-alternates: normal; font-variant-ligatures: normal; font-variant-numeric: normal; font-variant-east-asian: normal; font-variant-position: normal; font-feature-settings: normal; font-optical-sizing: auto; font-variation-settings: normal; color: rgb(14, 14, 14); min-height: 17.2px;""> </p>➘➘<p class=""p1"" style=""font-stretch: normal; font-size: 14px; line-height: normal; font-size-adjust: none; font-kerning: auto; font-variant-alternates: normal; font-variant-ligatures: normal; font-variant-numeric: normal; font-variant-east-asian: normal; font-variant-position: normal; font-feature-settings: normal; font-optical-sizing: auto; font-variation-settings: normal; color: rgb(14, 14, 14);"">Cordiali saluti,</p>➘➘<p class=""p2"" style=""font-stretch: normal; font-size: 14px; line-height: normal; font-size-adjust: none; font-kerning: auto; font-variant-alternates: normal; font-variant-ligatures: normal; font-variant-numeric: normal; font-variant-east-asian: normal; font-variant-position: normal; font-feature-settings: normal; font-optical-sizing: auto; font-variation-settings: normal; color: rgb(14, 14, 14); min-height: 17.2px;""> </p>➘➘<p class=""p1"" style=""font-stretch: normal; font-size: 14px; line-height: normal; font-size-adjust: none; font-kerning: auto; font-variant-alternates: normal; font-variant-ligatures: normal; font-variant-numeric: normal; font-variant-east-asian: normal; font-variant-position: normal; font-feature-settings: normal; font-optical-sizing: auto; font-variation-settings: normal; color: rgb(14, 14, 14);"">Matteo Perini</p>➘","","","","","Beste deelnemer,<br><br> Wij nodigen u uit om deel te nemen aan een onderzoek voor het Behavioral Science Institute van <strong>de Radboud Universiteit</strong> .<br><br> Het onderzoek voldoet aan de <strong>ethische richtlijnen</strong> van de Radboud Universiteit en de gedragscode voor databeheer.<br><br> De gegevens voor dit onderzoek worden <strong>anoniem</strong> verzameld. De informatie die u verstrekt, is niet naar u te herleiden.<br><br> Deelname is vrijwillig. U kunt zich op elk moment afmelden. Als u besluit deel te nemen, vragen wij u om onderstaand <strong>toestemmingsformulier</strong> te ondertekenen.<br><br> Heeft u vragen, neem dan gerust contact op met de uitvoerende onderzoekers: matteo.perini@ru.nl<br><br> Met vriendelijke groeten,<br><br> Matteo Perini<br>"
QID2_QuestionText,"<strong>Use of the research data</strong><br>➘<br>➘The research data collected in this study will be&nbsp;<strong>saved by the researchers</strong>&nbsp;involved in this study.<br>➘<br>➘The consent form signed by you will be kept for 10 years upon completion of the research. Your (anonymized) research data&nbsp;<strong>will be stored</strong>&nbsp;for 10 years after the research has been completed.<br>➘<br>➘For reasons of&nbsp;<strong>scientific integrity</strong>, some persons and organizations must have access to your research data. This is necessary to test whether the research has been carried out properly and reliably. These persons and supervisory authorities inspecting the data are held to inspect your data on a strictly confidential basis. You will be asked to grant permission for this access. If you refuse to do so, you cannot participate in the study.<br>➘<br>➘Radboud University is responsible for compliance with the General Data Protection Regulation (GDPR) when processing your personal data. The researchers ensure that your privacy and the conditions attached to it are safeguarded and they adhere to the&nbsp;<strong>Dutch code of conduct</strong>&nbsp;for scientific integrity and university policy regarding the storage and management of personal and research data when conducting this research. You have the right to withdraw your consent for the processing of your personal data at any time. Your personal data will then be deleted.<br>➘<br>➘You can find the Radboud University&nbsp;<strong>Privacy Statement</strong>&nbsp;at: https://www.ru.nl/english/vaste-onderdelen/privacy-statement-radboud-university/. If you have any questions about your privacy, please contact the Privacy Officer Faculty of Social Sciences (P.Janssen@socsci.ru.nl). For general questions, please contact the office of the Data Protection Officer of Radboud University via privacy@ru.nl.<br>➘<br>➘<strong>More information</strong>&nbsp;about your rights in the processing of your personal data can be found at https://www.ru.nl/privacy/english/protection-personal-data/data-subjects-rights/ and on the website of the Dutch Data Protection Authority (https://autoriteitpersoonsgegevens.nl/en).Click to write the question text","<meta charset=""UTF-8"" />➘<p><b>Uso dei dati di ricerca</b></p>➘➘<p> </p>➘➘<p>I dati di ricerca raccolti in questo studio saranno <strong>conservati dai ricercatori</strong> coinvolti nella ricerca.</p>➘➘<p> </p>➘➘<p>Il modulo di consenso firmato da Lei sarà conservato per 10 anni dal termine dello studio. I Suoi dati di ricerca (resi anonimi) saranno conservati per 10 anni dopo il completamento dello studio.</p>➘➘<p> </p>➘➘<p>Per ragioni di <strong>integrità scientifica</strong>, alcune persone e organizzazioni devono avere accesso ai Suoi dati di ricerca. Ciò è necessario per verificare che la ricerca sia stata condotta in modo adeguato e affidabile. Le persone e le autorità di vigilanza incaricate di ispezionare i dati sono tenute a trattarli con la massima riservatezza. Le verrà richiesto di concedere il permesso per tale accesso; in caso di rifiuto, non sarà possibile partecipare allo studio.</p>➘➘<p> </p>➘➘<p>L’Università Radboud è responsabile del rispetto del Regolamento Generale sulla Protezione dei Dati (GDPR) nel trattamento dei Suoi dati personali. I ricercatori garantiscono la tutela della Sua privacy e delle condizioni ad essa collegate, e aderiscono al <strong>codice di condotta olandese</strong> per l’integrità scientifica nonché alle politiche universitarie in materia di archiviazione e gestione dei dati personali e di ricerca. Lei ha il diritto di revocare in qualsiasi momento il consenso al trattamento dei Suoi dati personali, nel qual caso i Suoi dati personali verranno eliminati.</p>➘➘<p> </p>➘➘<p>Può consultare la <strong>Privacy Statement</strong> dell’Università Radboud al seguente link: <a href=""https://www.ru.nl/english/vaste-onderdelen/privacy-statement-radboud-university/"">https://www.ru.nl/english/vaste-onderdelen/privacy-statement-radboud-university/</a>. Per qualsiasi domanda relativa alla Sua privacy, può contattare il Privacy Officer della Facoltà di Scienze Sociali (P.Janssen@socsci.ru.nl). Per domande di carattere generale, contatti l’ufficio del Data Protection Officer dell’Università Radboud all’indirizzo privacy@ru.nl.</p>➘➘<p> </p>➘➘<p><strong>Ulteriori informazioni</strong> sui Suoi diritti riguardo al trattamento dei dati personali sono disponibili su <a href=""https://www.ru.nl/privacy/english/protection-personal-data/data-subjects-rights/"">https://www.ru.nl/privacy/english/protection-personal-data/data-subjects-rights/</a> e sul sito dell’Autorità Olandese per la Protezione dei Dati (https://autoriteitpersoonsgegevens.nl/en).</p>➘","","","","","<strong>Gebruik van de onderzoeksgegevens</strong><br><br> De onderzoeksgegevens die in dit onderzoek worden verzameld, worden <strong>bewaard door de onderzoekers</strong> die aan dit onderzoek deelnemen.<br><br> Het door u ondertekende toestemmingsformulier wordt 10 jaar na afronding van het onderzoek bewaard. Uw (geanonimiseerde) onderzoeksgegevens <strong>worden 10 jaar na afronding van het onderzoek bewaard</strong> .<br><br> Om redenen van <strong>wetenschappelijke integriteit</strong> moeten sommige personen en organisaties toegang hebben tot uw onderzoeksgegevens. Dit is noodzakelijk om te toetsen of het onderzoek naar behoren en betrouwbaar is uitgevoerd. Deze personen en toezichthoudende instanties die de gegevens inzien, zijn strikt vertrouwelijk gehouden uw gegevens in te zien. U wordt gevraagd toestemming te verlenen voor deze toegang. Indien u dit weigert, kunt u niet deelnemen aan het onderzoek.<br><br> De Radboud Universiteit is verantwoordelijk voor de naleving van de Algemene Verordening Gegevensbescherming (AVG) bij de verwerking van uw persoonsgegevens. De onderzoekers dragen er zorg voor dat uw privacy en de daaraan verbonden voorwaarden worden gewaarborgd en houden zich bij de uitvoering van dit onderzoek aan de <strong>Nederlandse gedragscode</strong> voor wetenschappelijke integriteit en het universitaire beleid inzake de opslag en het beheer van persoons- en onderzoeksgegevens. U heeft te allen tijde het recht om uw toestemming voor de verwerking van uw persoonsgegevens in te trekken. Uw persoonsgegevens worden dan verwijderd.<br><br> De <strong>privacyverklaring</strong> van de Radboud Universiteit vindt u op: https://www.ru.nl/english/vaste-onderdelen/privacy-statement-radboud-university/. Voor vragen over uw privacy kunt u contact opnemen met de Functionaris Gegevensbescherming van de Faculteit der Sociale Wetenschappen (P.Janssen@socsci.ru.nl). Voor algemene vragen kunt u contact opnemen met de Functionaris Gegevensbescherming van de Radboud Universiteit via privacy@ru.nl.<br><br> <strong>Meer informatie</strong> over uw rechten bij de verwerking van uw persoonsgegevens vindt u op https://www.ru.nl/privacy/english/protection-personal-data/data-subjects-rights/ en op de website van de Autoriteit Persoonsgegevens (https://autoriteitpersoonsgegevens.nl/nl). Klik om de vraagtekst te schrijven"
QID3_QuestionText,"<strong>Consent form for participation in scientific research</strong><br>➘<br>➘<strong>I herewith confirm that:</strong>➘<ul>➘	<li>I have read the written information;<br></li>➘	<li>I have been given the opportunity to ask questions about the study [matteo.perini@ru.nl];</li>➘	<li>My questions, if any, have been answered satisfactorily;</li>➘	<li>I have been given ample opportunity to think carefully about participating in the study;</li>➘	<li>I participate in the study entirely voluntarily.</li>➘</ul>➘<br>➘<strong>I understand that:</strong>➘➘<ul>➘	<li>I have the right to withdraw my consent to participate at any time during the study without having to state reasons and without fear of adverse consequences;</li>➘	<li>My personal data are processed in accordance with the applicable European privacy regulations;</li>➘	<li>My personal data are processed in accordance with the privacy statement of Radboud University (https://www.ru.nl/english/vaste-onderdelen/privacy-statement-radboud-university/) the tests and questionnaires used are not medical/clinical tests. Since the data are collected anonymously, the researchers cannot inform me about scores that may be of personal clinical interest.</li>➘</ul>➘<br>➘<strong>I agree that:</strong>➘➘<ul>➘	<li>My research data within this research will be obtained for scientific purposes and will be available for verification, reuse and replication for&nbsp;10 years;</li>➘	<li>The signed consent form with my personal data is kept for 10 years;</li>➘	<li>My personal data, which are obtained for administrative purposes only, will be kept for a maximum of&nbsp;2 month&nbsp;after completion of the research;</li>➘	<li>Supervisory authorities may inspect my personal and research data for the purpose of auditing the research</li>➘</ul>➘&nbsp;","","","","","","<strong>Toestemmingsformulier voor deelname aan wetenschappelijk onderzoek</strong><br><br> <strong>Ik bevestig hierbij dat:</strong><ul><li> Ik heb de schriftelijke informatie gelezen;<br></li><li> Ik heb de gelegenheid gekregen om vragen te stellen over het onderzoek [matteo.perini@ru.nl];</li><li> Mijn eventuele vragen zijn naar tevredenheid beantwoord;</li><li> Ik heb ruimschoots de gelegenheid gehad om zorgvuldig na te denken over deelname aan het onderzoek;</li><li> Ik neem geheel vrijwillig deel aan het onderzoek.</li></ul><br> <strong>Ik begrijp dat:</strong><ul><li> Ik heb het recht om mijn toestemming voor deelname op elk moment tijdens het onderzoek in te trekken, zonder dat ik daarvoor een reden hoef op te geven en zonder angst voor nadelige gevolgen;</li><li> Mijn persoonsgegevens worden verwerkt overeenkomstig de geldende Europese privacyregelgeving;</li><li> Mijn persoonsgegevens worden verwerkt conform de privacyverklaring van de Radboud Universiteit (https://www.ru.nl/english/vaste-onderdelen/privacy-statement-radboud-university/). De gebruikte tests en vragenlijsten zijn geen medisch-klinische tests. Omdat de gegevens anoniem worden verzameld, kunnen de onderzoekers mij geen scores verstrekken die mogelijk van persoonlijk klinisch belang zijn.</li></ul><br> <strong>Ik ben het ermee eens dat:</strong><ul><li> Mijn onderzoeksgegevens binnen dit onderzoek worden verkregen voor wetenschappelijke doeleinden en blijven gedurende 10 jaar beschikbaar voor verificatie, hergebruik en replicatie;</li><li> Het ondertekende toestemmingsformulier met mijn persoonsgegevens bewaren wij 10 jaar;</li><li> Mijn persoonsgegevens, die uitsluitend voor administratieve doeleinden worden verkregen, worden maximaal 2 maanden na afronding van het onderzoek bewaard;</li><li> Toezichthoudende autoriteiten kunnen mijn persoons- en onderzoeksgegevens inzien ten behoeve van de controle op het onderzoek.</li></ul>"
QID3_Choice1,"Yes, I have read the provided information and I agree to participate in this study and to the use of my data for the research purposes as described in the provided information","<p>Sì, ho letto le informazioni fornite e acconsento a partecipare a questo studio e all’utilizzo dei miei dati per scopi di ricerca come descritto nelle informazioni fornite</p>➘","","","","","Ja, ik heb de verstrekte informatie gelezen en ik ga akkoord met deelname aan dit onderzoek en met het gebruik van mijn gegevens voor de onderzoeksdoeleinden zoals beschreven in de verstrekte informatie."
QID3_Choice2,"No, I do not want to participate in this study","<p>No, non voglio partecipare a questo studio</p>➘","","","","","Nee, ik wil niet deelnemen aan dit onderzoek"
QID131_QuestionText,"<div style=""text-align: center;"">In this task, you will be presented with <strong>pictures of second-hand items</strong> and asked to rate them on various characteristics.<br />➘<br />➘Please take at least a couple of seconds to observe each picture before providing your responses.&nbsp;</div>","<div style=""text-align: center;"">In questo compito, ti verranno mostrate delle <strong>immagini di articoli di seconda mano</strong> e ti sarà chiesto di valutarli su diverse caratteristiche.<br />➘<br />➘Ti preghiamo di osservare ogni immagine per almeno un paio di secondi prima di fornire le tue risposte.</div>➘","","","","","<div style=""text-align: center;"">In deze taak krijg je <strong>afbeeldingen van tweedehands voorwerpen</strong> te zien en wordt je gevraagd om ze op verschillende kenmerken te beoordelen.<br />➘<br />➘Neem alsjeblieft minstens een paar seconden de tijd om elke afbeelding te bekijken voordat je je antwoorden geeft. </div>➘"
QID44_QuestionText,"<img height=""500"" src=""https://psychru.qualtrics.com/CP/Graphic.php?IM=IM_JSchokoffEnfl20"" style=""width: 378px; height: 500px;"" width=""378"" />","","","","","",""
QID46_QuestionText,"<img height=""500"" src=""https://psychru.qualtrics.com/CP/Graphic.php?IM=IM_bkZ2EVx5ce59IW5"" style=""width: 505px; height: 500px;"" width=""505"" />","","","","","",""
QID47_QuestionText,"<img height=""500"" src=""https://psychru.qualtrics.com/CP/Graphic.php?IM=IM_kXDvL3rBJJeX8Wl"" style=""width: 490px; height: 500px;"" width=""490"" />","","","","","",""
QID51_QuestionText,"<img height=""500"" src=""https://psychru.qualtrics.com/CP/Graphic.php?IM=IM_Kwsrvc8YuRc92wd"" style=""width: 385px; height: 500px;"" width=""385"" />","","","","","",""
QID50_QuestionText,"<img height=""500"" src=""https://psychru.qualtrics.com/CP/Graphic.php?IM=IM_n5PFHWh2x4gmvpK"" style=""width: 473px; height: 500px;"" width=""473"" />","","","","","",""
QID49_QuestionText,"<img height=""500"" src=""https://psychru.qualtrics.com/CP/Graphic.php?IM=IM_AMZkQQrXTGWwqKz"" style=""width: 508px; height: 500px;"" width=""508"" />","","","","","",""
QID26_QuestionText,"<p>The&nbsp;<strong>t-shirt</strong>&nbsp;in the picture is <strong>second-hand</strong>.</p>➘➘<p>&nbsp;</p>➘➘<p>Please, rate the product in the picture on the following dimensions, from 0 (not at all) to 100 (extremely).&nbsp;</p>➘➘<ul>➘</ul>","<p>La <strong>maglietta</strong> nella foto è <strong>di seconda mano</strong>.<br />➘<br />➘Ti preghiamo di valutare il prodotto nella foto sulle seguenti dimensioni, da 0 (per niente) a 100 (estremamente).</p>➘➘<ul>➘</ul>➘","","","","",""
QID26_Choice1,"Appealing","Attraente","","","","",""
QID26_Choice3,"Clean/hygienic","Pulito/igienico","","","","",""
QID26_Choice4,"I would feel comfortable wearing it, even knowing someone else has worn it","Mi sentirei a mio agio a indossarlo, pur sapendo che qualcun altro lo ha già indossato","","","","",""
QID26_Choice5,"I would like to have it, even knowing someone else has worn it","Mi piacerebbe averlo, pur sapendo che qualcun altro lo ha già indossato","","","","",""
QID28_QuestionText,"<p>What is the <b>highest price </b>you would be willing to pay for the <strong>second-hand t-shirt, as a percentage of its original price </strong>when it was new?</p>➘➘<p>&nbsp;</p>➘➘<p>Use the slider to indicate your response, where:</p>➘➘<ul>➘	<li><b>0</b> means you wouldn&rsquo;t buy the second-hand product at any price.</li>➘	<li><b>100</b> means you would pay as much for the second-hand product as for the new product.&nbsp;</li>➘</ul>","<p>Qual è il <strong>prezzo massimo</strong> che saresti disposto/a a pagare per la <strong>maglietta di seconda mano, come percentuale del suo prezzo originale</strong> da nuova?<br />➘<br />➘Usa il cursore per indicare la tua risposta, dove:</p>➘➘<ul>➘	<li><strong>0</strong> significa che non acquisteresti il prodotto di seconda mano a nessun prezzo.</li>➘	<li><strong>100</strong> significa che pagheresti il prodotto di seconda mano tanto quanto un prodotto nuovo.</li>➘</ul>➘","","","","",""
QID28_Choice1,"Percentage price (%)","Prezzo percentuale (%)","","","","",""
QID45_QuestionText,"<img height=""500"" src=""https://psychru.qualtrics.com/CP/Graphic.php?IM=IM_Ua0gJ9cWE8F37Fq"" style=""width: 391px; height: 500px;"" width=""391"" />","","","","","",""
QID57_QuestionText,"<img height=""500"" src=""https://psychru.qualtrics.com/CP/Graphic.php?IM=IM_KBOE0I1DF2ltqf3"" style=""width: 455px; height: 500px;"" width=""455"" />","","","","","",""
QID56_QuestionText,"<img height=""500"" src=""https://psychru.qualtrics.com/CP/Graphic.php?IM=IM_ieo3eSKrdqhqmn7"" style=""width: 527px; height: 500px;"" width=""527"" />","","","","","",""
QID55_QuestionText,"<img height=""500"" src=""https://psychru.qualtrics.com/CP/Graphic.php?IM=IM_Vo1WXKD9tGoqqFm"" style=""width: 501px; height: 500px;"" width=""501"" />","","","","","",""
QID54_QuestionText,"<img height=""500"" src=""https://psychru.qualtrics.com/CP/Graphic.php?IM=IM_76xkzQK9pgNN7xc"" style=""width: 667px; height: 500px;"" width=""667"" />","","","","","",""
QID53_QuestionText,"<img height=""500"" src=""https://psychru.qualtrics.com/CP/Graphic.php?IM=IM_atb7PdhvWGLSZQx"" style=""width: 501px; height: 500px;"" width=""501"" />","","","","","",""
QID29_QuestionText,"<p>The&nbsp;<strong>hat</strong>&nbsp;in the picture is <strong>second-hand</strong>.</p>➘➘<p>&nbsp;</p>➘➘<p>Please, rate the product in the picture on the following dimensions, from 0 (not at all) to 100 (extremely).&nbsp;</p>➘➘<ul>➘</ul>","<p>Il <strong>cappello</strong> nella foto è <strong>di seconda mano</strong>.<br />➘<br />➘Ti preghiamo di valutare il prodotto nella foto sulle seguenti dimensioni, da 0 (per niente) a 100 (estremamente).</p>➘","","","","",""
QID29_Choice1,"Appealing","Attraente","","","","",""
