PhraseID,EN,IT,PT-BR,TR,ES-ES,SV,NL
QID323_QuestionText,"Note: if you are not from one of the nine countries listed above, you cannot take part in this study.&nbsp;<br>",,,,,,"Let op: als u niet uit een van de negen hierboven genoemde landen komt, kunt u niet deelnemen aan dit onderzoek.<br>"
QID341_QuestionText,Are you a participant from <strong>BeSample or Prolific</strong>?,,,,,,Bent u deelnemer van <strong>BeSample of Prolific</strong> ?
QID341_Choice2,Prolific,,,,,,Prolific
QID341_Choice3,BeSample,,,,,,BeSample
QID318_QuestionText,What is your <strong>Prolific ID</strong>?,,,,,,Wat is uw <strong>Prolific-ID</strong> ?
QID319_QuestionText,What is your <strong>BeSample ID</strong>?,,,,,,Wat is uw <strong>BeSample ID</strong> ?
QID233_QuestionText,Thank you for participating in our study.<br />➘<br />➘This research explores <strong>perceptions and behaviors related to second-hand clothing</strong>.<br />➘<br />➘Your input is invaluable in helping us understand this topic.,,,,,,Hartelijk dank voor uw deelname aan ons onderzoek.<br /><br /> In dit onderzoek wordt gekeken naar <strong>de perceptie en het gedrag met betrekking tot tweedehandskleding</strong> .<br /><br /> Uw input is van onschatbare waarde om ons dit onderwerp te helpen begrijpen.
QID1_QuestionText,"Dear participant,&nbsp;<br>➘<br>➘We're inviting you to partake in a study for&nbsp;<strong>Radboud University</strong>'s Behavioral Science Institute.&nbsp; &nbsp;<br>➘<br>➘The study complies with the&nbsp;<strong>ethical guidelines</strong>&nbsp;of Radboud University and code of conduct for data management.<br>➘<br>➘The data for this study are collected&nbsp;<strong>anonymously</strong>. Any information you provide&nbsp;cannot be traced back to you.&nbsp;<br>➘<br>➘Participation is voluntary. You're free to opt out anytime. If you choose to participate, we require you to sign an&nbsp;<strong>informed consent</strong>&nbsp;form below.<br>➘<br>➘If you have any questions, feel free to contact the executing researchers: matteo.perini@ru.nl<br>➘<br>➘Kind regards,<br>➘<br>➘Matteo Perini<br>➘&nbsp;",,,,,,"Beste deelnemer,<br><br> Wij nodigen u uit om deel te nemen aan een onderzoek voor het Behavioral Science Institute van <strong>de Radboud Universiteit</strong> .<br><br> Het onderzoek voldoet aan de <strong>ethische richtlijnen</strong> van de Radboud Universiteit en de gedragscode voor databeheer.<br><br> De gegevens voor dit onderzoek worden <strong>anoniem</strong> verzameld. De informatie die u verstrekt, is niet naar u te herleiden.<br><br> Deelname is vrijwillig. U kunt zich op elk moment afmelden. Als u besluit deel te nemen, vragen wij u om onderstaand <strong>toestemmingsformulier</strong> te ondertekenen.<br><br> Heeft u vragen, neem dan gerust contact op met de uitvoerende onderzoekers: matteo.perini@ru.nl<br><br> Met vriendelijke groeten,<br><br> Matteo Perini<br>"
QID2_QuestionText,"<strong>Use of the research data</strong><br>➘<br>➘The research data collected in this study will be&nbsp;<strong>saved by the researchers</strong>&nbsp;involved in this study.<br>➘<br>➘The consent form signed by you will be kept for 10 years upon completion of the research. Your (anonymized) research data&nbsp;<strong>will be stored</strong>&nbsp;for 10 years after the research has been completed.<br>➘<br>➘For reasons of&nbsp;<strong>scientific integrity</strong>, some persons and organizations must have access to your research data. This is necessary to test whether the research has been carried out properly and reliably. These persons and supervisory authorities inspecting the data are held to inspect your data on a strictly confidential basis. You will be asked to grant permission for this access. If you refuse to do so, you cannot participate in the study.<br>➘<br>➘Radboud University is responsible for compliance with the General Data Protection Regulation (GDPR) when processing your personal data. The researchers ensure that your privacy and the conditions attached to it are safeguarded and they adhere to the&nbsp;<strong>Dutch code of conduct</strong>&nbsp;for scientific integrity and university policy regarding the storage and management of personal and research data when conducting this research. You have the right to withdraw your consent for the processing of your personal data at any time. Your personal data will then be deleted.<br>➘<br>➘You can find the Radboud University&nbsp;<strong>Privacy Statement</strong>&nbsp;at: https://www.ru.nl/english/vaste-onderdelen/privacy-statement-radboud-university/. If you have any questions about your privacy, please contact the Privacy Officer Faculty of Social Sciences (P.Janssen@socsci.ru.nl). For general questions, please contact the office of the Data Protection Officer of Radboud University via privacy@ru.nl.<br>➘<br>➘<strong>More information</strong>&nbsp;about your rights in the processing of your personal data can be found at https://www.ru.nl/privacy/english/protection-personal-data/data-subjects-rights/ and on the website of the Dutch Data Protection Authority (https://autoriteitpersoonsgegevens.nl/en).Click to write the question text",,,,,,"<strong>Gebruik van de onderzoeksgegevens</strong><br><br> De onderzoeksgegevens die in dit onderzoek worden verzameld, worden <strong>bewaard door de onderzoekers</strong> die aan dit onderzoek deelnemen.<br><br> Het door u ondertekende toestemmingsformulier wordt 10 jaar na afronding van het onderzoek bewaard. Uw (geanonimiseerde) onderzoeksgegevens <strong>worden 10 jaar na afronding van het onderzoek bewaard</strong> .<br><br> Om redenen van <strong>wetenschappelijke integriteit</strong> moeten sommige personen en organisaties toegang hebben tot uw onderzoeksgegevens. Dit is noodzakelijk om te toetsen of het onderzoek naar behoren en betrouwbaar is uitgevoerd. Deze personen en toezichthoudende instanties die de gegevens inzien, zijn strikt vertrouwelijk gehouden uw gegevens in te zien. U wordt gevraagd toestemming te verlenen voor deze toegang. Indien u dit weigert, kunt u niet deelnemen aan het onderzoek.<br><br> De Radboud Universiteit is verantwoordelijk voor de naleving van de Algemene Verordening Gegevensbescherming (AVG) bij de verwerking van uw persoonsgegevens. De onderzoekers dragen er zorg voor dat uw privacy en de daaraan verbonden voorwaarden worden gewaarborgd en houden zich bij de uitvoering van dit onderzoek aan de <strong>Nederlandse gedragscode</strong> voor wetenschappelijke integriteit en het universitaire beleid inzake de opslag en het beheer van persoons- en onderzoeksgegevens. U heeft te allen tijde het recht om uw toestemming voor de verwerking van uw persoonsgegevens in te trekken. Uw persoonsgegevens worden dan verwijderd.<br><br> De <strong>privacyverklaring</strong> van de Radboud Universiteit vindt u op: https://www.ru.nl/english/vaste-onderdelen/privacy-statement-radboud-university/. Voor vragen over uw privacy kunt u contact opnemen met de Functionaris Gegevensbescherming van de Faculteit der Sociale Wetenschappen (P.Janssen@socsci.ru.nl). Voor algemene vragen kunt u contact opnemen met de Functionaris Gegevensbescherming van de Radboud Universiteit via privacy@ru.nl.<br><br> <strong>Meer informatie</strong> over uw rechten bij de verwerking van uw persoonsgegevens vindt u op https://www.ru.nl/privacy/english/protection-personal-data/data-subjects-rights/ en op de website van de Autoriteit Persoonsgegevens (https://autoriteitpersoonsgegevens.nl/nl). Klik om de vraagtekst te schrijven"
QID3_QuestionText,"<strong>Consent form for participation in scientific research</strong><br>➘<br>➘<strong>I herewith confirm that:</strong>➘<ul>➘	<li>I have read the written information;<br></li>➘	<li>I have been given the opportunity to ask questions about the study [matteo.perini@ru.nl];</li>➘	<li>My questions, if any, have been answered satisfactorily;</li>➘	<li>I have been given ample opportunity to think carefully about participating in the study;</li>➘	<li>I participate in the study entirely voluntarily.</li>➘</ul>➘<br>➘<strong>I understand that:</strong>➘➘<ul>➘	<li>I have the right to withdraw my consent to participate at any time during the study without having to state reasons and without fear of adverse consequences;</li>➘	<li>My personal data are processed in accordance with the applicable European privacy regulations;</li>➘	<li>My personal data are processed in accordance with the privacy statement of Radboud University (https://www.ru.nl/english/vaste-onderdelen/privacy-statement-radboud-university/) the tests and questionnaires used are not medical/clinical tests. Since the data are collected anonymously, the researchers cannot inform me about scores that may be of personal clinical interest.</li>➘</ul>➘<br>➘<strong>I agree that:</strong>➘➘<ul>➘	<li>My research data within this research will be obtained for scientific purposes and will be available for verification, reuse and replication for&nbsp;10 years;</li>➘	<li>The signed consent form with my personal data is kept for 10 years;</li>➘	<li>My personal data, which are obtained for administrative purposes only, will be kept for a maximum of&nbsp;2 month&nbsp;after completion of the research;</li>➘	<li>Supervisory authorities may inspect my personal and research data for the purpose of auditing the research</li>➘</ul>➘&nbsp;",,,,,,"<strong>Toestemmingsformulier voor deelname aan wetenschappelijk onderzoek</strong><br><br> <strong>Ik bevestig hierbij dat:</strong><ul><li> Ik heb de schriftelijke informatie gelezen;<br></li><li> Ik heb de gelegenheid gekregen om vragen te stellen over het onderzoek [matteo.perini@ru.nl];</li><li> Mijn eventuele vragen zijn naar tevredenheid beantwoord;</li><li> Ik heb ruimschoots de gelegenheid gehad om zorgvuldig na te denken over deelname aan het onderzoek;</li><li> Ik neem geheel vrijwillig deel aan het onderzoek.</li></ul><br> <strong>Ik begrijp dat:</strong><ul><li> Ik heb het recht om mijn toestemming voor deelname op elk moment tijdens het onderzoek in te trekken, zonder dat ik daarvoor een reden hoef op te geven en zonder angst voor nadelige gevolgen;</li><li> Mijn persoonsgegevens worden verwerkt overeenkomstig de geldende Europese privacyregelgeving;</li><li> Mijn persoonsgegevens worden verwerkt conform de privacyverklaring van de Radboud Universiteit (https://www.ru.nl/english/vaste-onderdelen/privacy-statement-radboud-university/). De gebruikte tests en vragenlijsten zijn geen medisch-klinische tests. Omdat de gegevens anoniem worden verzameld, kunnen de onderzoekers mij geen scores verstrekken die mogelijk van persoonlijk klinisch belang zijn.</li></ul><br> <strong>Ik ben het ermee eens dat:</strong><ul><li> Mijn onderzoeksgegevens binnen dit onderzoek worden verkregen voor wetenschappelijke doeleinden en blijven gedurende 10 jaar beschikbaar voor verificatie, hergebruik en replicatie;</li><li> Het ondertekende toestemmingsformulier met mijn persoonsgegevens bewaren wij 10 jaar;</li><li> Mijn persoonsgegevens, die uitsluitend voor administratieve doeleinden worden verkregen, worden maximaal 2 maanden na afronding van het onderzoek bewaard;</li><li> Toezichthoudende autoriteiten kunnen mijn persoons- en onderzoeksgegevens inzien ten behoeve van de controle op het onderzoek.</li></ul>"
QID3_Choice1,"Yes, I have read the provided information and I agree to participate in this study and to the use of my data for the research purposes as described in the provided information",,,,,,"Ja, ik heb de verstrekte informatie gelezen en ik ga akkoord met deelname aan dit onderzoek en met het gebruik van mijn gegevens voor de onderzoeksdoeleinden zoals beschreven in de verstrekte informatie."
QID3_Choice2,"No, I do not want to participate in this study",,,,,,"Nee, ik wil niet deelnemen aan dit onderzoek"
QID131_QuestionText,"<div style=""text-align: center;"">In this task, you will be presented with <strong>pictures of second-hand items</strong> and asked to rate them on various characteristics.<br />➘<br />➘Please take at least a couple of seconds to observe each picture before providing your responses.&nbsp;</div>",,,,,,"<div style=""text-align: center;"">In deze taak krijg je <strong>afbeeldingen van tweedehands voorwerpen</strong> te zien en wordt je gevraagd om ze op verschillende kenmerken te beoordelen.<br />➘<br />➘Neem alsjeblieft minstens een paar seconden de tijd om elke afbeelding te bekijken voordat je je antwoorden geeft. </div>➘"
QID44_QuestionText,"<img height=""500"" src=""https://psychru.qualtrics.com/CP/Graphic.php?IM=IM_JSchokoffEnfl20"" style=""width: 378px; height: 500px;"" width=""378"" />",,,,,,
QID46_QuestionText,"<img height=""500"" src=""https://psychru.qualtrics.com/CP/Graphic.php?IM=IM_bkZ2EVx5ce59IW5"" style=""width: 505px; height: 500px;"" width=""505"" />",,,,,,
QID47_QuestionText,"<img height=""500"" src=""https://psychru.qualtrics.com/CP/Graphic.php?IM=IM_kXDvL3rBJJeX8Wl"" style=""width: 490px; height: 500px;"" width=""490"" />",,,,,,
QID51_QuestionText,"<img height=""500"" src=""https://psychru.qualtrics.com/CP/Graphic.php?IM=IM_Kwsrvc8YuRc92wd"" style=""width: 385px; height: 500px;"" width=""385"" />",,,,,,
QID50_QuestionText,"<img height=""500"" src=""https://psychru.qualtrics.com/CP/Graphic.php?IM=IM_n5PFHWh2x4gmvpK"" style=""width: 473px; height: 500px;"" width=""473"" />",,,,,,
QID49_QuestionText,"<img height=""500"" src=""https://psychru.qualtrics.com/CP/Graphic.php?IM=IM_AMZkQQrXTGWwqKz"" style=""width: 508px; height: 500px;"" width=""508"" />",,,,,,
QID26_QuestionText,"<p>The&nbsp;<strong>t-shirt</strong>&nbsp;in the picture is <strong>second-hand</strong>.</p>➘➘<p>&nbsp;</p>➘➘<p>Please, rate the product in the picture on the following dimensions, from 0 (not at all) to 100 (extremely).&nbsp;</p>➘➘<ul>➘</ul>",,,,,,
QID26_Choice1,Appealing,,,,,,
QID26_Choice3,Clean/hygienic,,,,,,
QID26_Choice4,"I would feel comfortable wearing it, even knowing someone else has worn it",,,,,,
QID26_Choice5,"I would like to have it, even knowing someone else has worn it",,,,,,
QID28_QuestionText,"<p>What is the <b>highest price </b>you would be willing to pay for the <strong>second-hand t-shirt, as a percentage of its original price </strong>when it was new?</p>➘➘<p>&nbsp;</p>➘➘<p>Use the slider to indicate your response, where:</p>➘➘<ul>➘	<li><b>0</b> means you wouldn&rsquo;t buy the second-hand product at any price.</li>➘	<li><b>100</b> means you would pay as much for the second-hand product as for the new product.&nbsp;</li>➘</ul>",,,,,,
QID28_Choice1,Percentage price (%),,,,,,
QID45_QuestionText,"<img height=""500"" src=""https://psychru.qualtrics.com/CP/Graphic.php?IM=IM_Ua0gJ9cWE8F37Fq"" style=""width: 391px; height: 500px;"" width=""391"" />",,,,,,
QID57_QuestionText,"<img height=""500"" src=""https://psychru.qualtrics.com/CP/Graphic.php?IM=IM_KBOE0I1DF2ltqf3"" style=""width: 455px; height: 500px;"" width=""455"" />",,,,,,
QID56_QuestionText,"<img height=""500"" src=""https://psychru.qualtrics.com/CP/Graphic.php?IM=IM_ieo3eSKrdqhqmn7"" style=""width: 527px; height: 500px;"" width=""527"" />",,,,,,
QID55_QuestionText,"<img height=""500"" src=""https://psychru.qualtrics.com/CP/Graphic.php?IM=IM_Vo1WXKD9tGoqqFm"" style=""width: 501px; height: 500px;"" width=""501"" />",,,,,,
QID54_QuestionText,"<img height=""500"" src=""https://psychru.qualtrics.com/CP/Graphic.php?IM=IM_76xkzQK9pgNN7xc"" style=""width: 667px; height: 500px;"" width=""667"" />",,,,,,
QID53_QuestionText,"<img height=""500"" src=""https://psychru.qualtrics.com/CP/Graphic.php?IM=IM_atb7PdhvWGLSZQx"" style=""width: 501px; height: 500px;"" width=""501"" />",,,,,,
QID29_QuestionText,"<p>The&nbsp;<strong>hat</strong>&nbsp;in the picture is <strong>second-hand</strong>.</p>➘➘<p>&nbsp;</p>➘➘<p>Please, rate the product in the picture on the following dimensions, from 0 (not at all) to 100 (extremely).&nbsp;</p>➘➘<ul>➘</ul>",,,,,,
QID29_Choice1,Appealing,,,,,,
QID29_Choice3,Clean/hygienic,,,,,,
QID29_Choice4,"I would feel comfortable wearing it, even knowing someone else has worn it",,,,,,
QID29_Choice5,"I would like to have it, even knowing someone else has worn it",,,,,,
QID30_QuestionText,"<p>What is the <b>highest price </b>you would be willing to pay for the <strong>second-hand hat, as a percentage of its original price </strong>when it was new?</p>➘➘<p>&nbsp;</p>➘➘<p>Use the slider to indicate your response, where:</p>➘➘<ul>➘	<li><b>0</b> means you wouldn&rsquo;t buy the second-hand product at any price.</li>➘	<li><b>100</b> means you would pay as much for the second-hand product as for the new product.&nbsp;</li>➘</ul>",,,,,,
QID30_Choice1,Percentage price (%),,,,,,
QID58_QuestionText,"<img height=""500"" src=""https://psychru.qualtrics.com/CP/Graphic.php?IM=IM_ANT9aaq1cmcW6R7"" style=""width: 419px; height: 500px;"" width=""419"" />",,,,,,
QID130_QuestionText,"<img height=""500"" src=""https://psychru.qualtrics.com/CP/Graphic.php?IM=IM_yQonckqJWX3p52t"" style=""width: 382px; height: 500px;"" width=""382"" />",,,,,,
QID60_QuestionText,"<img height=""500"" src=""https://psychru.qualtrics.com/CP/Graphic.php?IM=IM_1lWROpLtUifF6H9"" style=""height: 500px; width: 500px;"" width=""500"" />",,,,,,
QID61_QuestionText,"<img height=""500"" src=""https://psychru.qualtrics.com/CP/Graphic.php?IM=IM_seBqTkZW9SNbEbX"" style=""width: 505px; height: 500px;"" width=""505"" />",,,,,,
QID62_QuestionText,"<img height=""500"" src=""https://psychru.qualtrics.com/CP/Graphic.php?IM=IM_FMKaCVx2d3WstEf"" style=""width: 414px; height: 500px;"" width=""414"" />",,,,,,
QID63_QuestionText,"<img height=""500"" src=""https://psychru.qualtrics.com/CP/Graphic.php?IM=IM_yT6GiKDi2z1G0te"" style=""width: 408px; height: 500px;"" width=""408"" />",,,,,,
QID64_QuestionText,"<p>The&nbsp;<strong>socks</strong>&nbsp;in the picture are&nbsp;<strong>second-hand</strong>.</p>➘➘<p>&nbsp;</p>➘➘<p>Please, rate the product in the picture on the following dimensions, from 0 (not at all) to 100 (extremely).&nbsp;</p>➘➘<ul>➘</ul>",,,,,,
QID64_Choice1,Appealing,,,,,,
QID64_Choice3,Clean/hygienic,,,,,,
QID64_Choice4,"I would feel comfortable wearing it, even knowing someone else has worn it",,,,,,
QID64_Choice5,"I would like to have it, even knowing someone else has worn it",,,,,,
QID65_QuestionText,"<p>What is the <b>highest price </b>you would be willing to pay for the <strong>second-hand socks, as a percentage of their original price </strong>when they were new?</p>➘➘<p>&nbsp;</p>➘➘<p>Use the slider to indicate your response, where:</p>➘➘<ul>➘	<li><b>0</b> means you wouldn&rsquo;t buy the second-hand product at any price.</li>➘	<li><b>100</b> means you would pay as much for the second-hand product as for the new product.&nbsp;</li>➘</ul>",,,,,,
QID65_Choice1,Percentage price (%),,,,,,
QID122_QuestionText,"<img height=""500"" src=""https://psychru.qualtrics.com/CP/Graphic.php?IM=IM_yUwaKjSCU0VJ63p"" style=""width: 680px; height: 500px;"" width=""680"" />",,,,,,
QID123_QuestionText,"<img height=""500"" src=""https://psychru.qualtrics.com/CP/Graphic.php?IM=IM_oIbZ7vv5znjAMn0"" style=""width: 610px; height: 500px;"" width=""610"" />",,,,,,
QID124_QuestionText,"<img height=""500"" src=""https://psychru.qualtrics.com/CP/Graphic.php?IM=IM_x3GaYryRIVhMxsF"" style=""width: 748px; height: 500px;"" width=""748"" />",,,,,,
QID125_QuestionText,"<img height=""500"" src=""https://psychru.qualtrics.com/CP/Graphic.php?IM=IM_axkundvmBn6IU7f"" style=""width: 547px; height: 500px;"" width=""547"" />",,,,,,
QID126_QuestionText,"<img height=""500"" src=""https://psychru.qualtrics.com/CP/Graphic.php?IM=IM_nV1bIrt5O7yxfVT"" style=""width: 424px; height: 500px;"" width=""424"" />&nbsp;",,,,,,
QID127_QuestionText,"<img height=""500"" src=""https://psychru.qualtrics.com/CP/Graphic.php?IM=IM_Jqb8L4CdtqasSoP"" style=""width: 500px; height: 500px;"" width=""500"" />",,,,,,
QID128_QuestionText,"<p>The&nbsp;<strong>shoes</strong>&nbsp;in the picture are&nbsp;<strong>second-hand</strong>.</p>➘➘<p>&nbsp;</p>➘➘<p>Please, rate the product in the picture on the following dimensions, from 0 (not at all) to 100 (extremely).&nbsp;</p>➘➘<ul>➘</ul>",,,,,,
QID128_Choice1,Appealing,,,,,,
QID128_Choice3,Clean/hygienic,,,,,,
QID128_Choice4,"I would feel comfortable wearing it, even knowing someone else has worn it",,,,,,
QID128_Choice5,"I would like to have it, even knowing someone else has worn it",,,,,,
QID129_QuestionText,"<p>What is the <b>highest price </b>you would be willing to pay for the <strong>second-hand shoes, as a percentage of their original price </strong>when they were new?</p>➘➘<p>&nbsp;</p>➘➘<p>Use the slider to indicate your response, where:</p>➘➘<ul>➘	<li><b>0</b> means you wouldn&rsquo;t buy the second-hand product at any price.</li>➘	<li><b>100</b> means you would pay as much for the second-hand product as for the new product.&nbsp;</li>➘</ul>",,,,,,
QID129_Choice1,Percentage price (%),,,,,,
QID106_QuestionText,"<img height=""500"" src=""https://psychru.qualtrics.com/CP/Graphic.php?IM=IM_87CvHNUqrAEjq8W"" style=""width: 399px; height: 500px;"" width=""399"" />",,,,,,
QID107_QuestionText,"<img height=""500"" src=""https://psychru.qualtrics.com/CP/Graphic.php?IM=IM_NW1przxCgv1XWJx"" style=""width: 410px; height: 500px;"" width=""410"" />",,,,,,
QID108_QuestionText,"<img height=""500"" src=""https://psychru.qualtrics.com/CP/Graphic.php?IM=IM_Ybp5Paj2PFMHJud"" style=""width: 375px; height: 500px;"" width=""375"" />",,,,,,
QID109_QuestionText,"<img height=""500"" src=""https://psychru.qualtrics.com/CP/Graphic.php?IM=IM_a3jmMrBP9umFZfc"" style=""width: 442px; height: 500px;"" width=""442"" />",,,,,,
QID110_QuestionText,"<img height=""500"" src=""https://psychru.qualtrics.com/CP/Graphic.php?IM=IM_IqEpn11a0rNKolv"" style=""width: 493px; height: 500px;"" width=""493"" />",,,,,,
QID111_QuestionText,"<img height=""500"" src=""https://psychru.qualtrics.com/CP/Graphic.php?IM=IM_E22d8QRqKFmM6wy"" style=""width: 364px; height: 500px;"" width=""364"" />",,,,,,
QID112_QuestionText,"<p>The&nbsp;<strong>pants</strong>&nbsp;in the picture are&nbsp;<strong>second-hand</strong>.</p>➘➘<p>&nbsp;</p>➘➘<p>Please, rate the product in the picture on the following dimensions, from 0 (not at all) to 100 (extremely).&nbsp;</p>➘➘<ul>➘</ul>",,,,,,
QID112_Choice1,Appealing,,,,,,
QID112_Choice3,Clean/hygienic,,,,,,
QID112_Choice4,"I would feel comfortable wearing it, even knowing someone else has worn it",,,,,,
QID112_Choice5,"I would like to have it, even knowing someone else has worn it",,,,,,
QID113_QuestionText,"<p>What is the <b>highest price </b>you would be willing to pay for the <strong>second-hand pants, as a percentage of their original price </strong>when they were new?</p>➘➘<p>&nbsp;</p>➘➘<p>Use the slider to indicate your response, where:</p>➘➘<ul>➘	<li><b>0</b> means you wouldn&rsquo;t buy the second-hand product at any price.</li>➘	<li><b>100</b> means you would pay as much for the second-hand product as for the new product.&nbsp;</li>➘</ul>",,,,,,
QID113_Choice1,Percentage price (%),,,,,,
QID82_QuestionText,"<img height=""500"" src=""https://psychru.qualtrics.com/CP/Graphic.php?IM=IM_OOwmtGtrbGZryZH"" style=""height: 500px; width: 500px;"" width=""500"" />",,,,,,
QID83_QuestionText,"<img height=""500"" src=""https://psychru.qualtrics.com/CP/Graphic.php?IM=IM_nE1fv2I0S9Pu2KC"" style=""width: 406px; height: 500px;"" width=""406"" />",,,,,,
QID84_QuestionText,"<img height=""500"" src=""https://psychru.qualtrics.com/CP/Graphic.php?IM=IM_bLfLqBu01tqs572"" style=""width: 500px; height: 500px;"" width=""500"" />",,,,,,
QID85_QuestionText,"<img height=""500"" src=""https://psychru.qualtrics.com/CP/Graphic.php?IM=IM_YdRxybYrcCntEMg"" style=""width: 518px; height: 500px;"" width=""518"" />",,,,,,
QID86_QuestionText,"<img height=""500"" src=""https://psychru.qualtrics.com/CP/Graphic.php?IM=IM_2BIPetrFL4d9o0J"" style=""width: 450px; height: 500px;"" width=""450"" />",,,,,,
QID87_QuestionText,"<img height=""500"" src=""https://psychru.qualtrics.com/CP/Graphic.php?IM=IM_8ZCShu4NVEFWVmE"" style=""width: 500px; height: 500px;"" width=""500"" />",,,,,,
QID88_QuestionText,"<p>The&nbsp;<strong>backpack</strong>&nbsp;in the picture is&nbsp;<strong>second-hand</strong>.</p>➘➘<p>&nbsp;</p>➘➘<p>Please, rate the product in the picture on the following dimensions, from 0 (not at all) to 100 (extremely).&nbsp;</p>➘➘<ul>➘</ul>",,,,,,
QID88_Choice1,Appealing,,,,,,
QID88_Choice3,Clean/hygienic,,,,,,
QID88_Choice4,"I would feel comfortable wearing it, even knowing someone else has worn it",,,,,,
QID88_Choice5,"I would like to have it, even knowing someone else has worn it",,,,,,
QID89_QuestionText,"<p>What is the <b>highest price </b>you would be willing to pay for the <strong>second-hand backpack, as a percentage of its original price </strong>when it was new?</p>➘➘<p>&nbsp;</p>➘➘<p>Use the slider to indicate your response, where:</p>➘➘<ul>➘	<li><b>0</b> means you wouldn&rsquo;t buy the second-hand product at any price.</li>➘	<li><b>100</b> means you would pay as much for the second-hand product as for the new product.&nbsp;</li>➘</ul>",,,,,,
QID89_Choice1,Percentage price (%),,,,,,
QID114_QuestionText,"<img height=""500"" src=""https://psychru.qualtrics.com/CP/Graphic.php?IM=IM_t03gyUXVmTQ3feD"" style=""width: 515px; height: 500px;"" width=""515"" />",,,,,,
QID115_QuestionText,"<img height=""500"" src=""https://psychru.qualtrics.com/CP/Graphic.php?IM=IM_VL668Ptv5OoHgCL"" style=""width: 468px; height: 500px;"" width=""468"" />",,,,,,
QID116_QuestionText,"<img height=""500"" src=""https://psychru.qualtrics.com/CP/Graphic.php?IM=IM_wWob1o9hXSWTnCi"" style=""width: 365px; height: 500px;"" width=""365"" />",,,,,,
QID117_QuestionText,"<img height=""500"" src=""https://psychru.qualtrics.com/CP/Graphic.php?IM=IM_cykrOvRpDJCZtHa"" style=""width: 457px; height: 500px;"" width=""457"" />",,,,,,
QID118_QuestionText,"<img height=""500"" src=""https://psychru.qualtrics.com/CP/Graphic.php?IM=IM_ZKSzDagO3aNSRBg"" style=""width: 375px; height: 500px;"" width=""375"" />",,,,,,
QID119_QuestionText,"<img height=""500"" src=""https://psychru.qualtrics.com/CP/Graphic.php?IM=IM_CuYMm3eqokN1xUq"" style=""width: 500px; height: 500px;"" width=""500"" />",,,,,,
QID120_QuestionText,"<p>The&nbsp;<strong>sweater</strong>&nbsp;in the picture is&nbsp;<strong>second-hand</strong>.</p>➘➘<p>&nbsp;</p>➘➘<p>Please, rate the product in the picture on the following dimensions, from 0 (not at all) to 100 (extremely).&nbsp;</p>➘➘<ul>➘</ul>",,,,,,
QID120_Choice1,Appealing,,,,,,
QID120_Choice3,Clean/hygienic,,,,,,
